,Murder,Assault,UrbanPop,Rape,East Coast,West Coast,Any Coast
Alabama,13.2,236,58,21.2,No,No,Yes
Alaska,10,263,48,44.5,No,Yes,Yes
Arizona,8.1,294,80,31,No,No,No
Arkansas,8.8,190,50,19.5,No,No,No
California,9,276,91,40.6,No,Yes,Yes
Colorado,7.9,204,78,38.7,No,No,No
Connecticut,3.3,110,77,11.1,Yes,No,Yes
Delaware,5.9,238,72,15.8,Yes,No,Yes
Florida,15.4,335,80,31.9,Yes,No,Yes
Georgia,17.4,211,60,25.8,Yes,No,Yes
Hawaii,5.3,46,83,20.2,No,Yes,Yes
Idaho,2.6,120,54,14.2,No,No,No
Illinois,10.4,249,83,24,No,No,No
Indiana,7.2,113,65,21,No,No,No
Iowa,2.2,56,57,11.3,No,No,No
Kansas,6,115,66,18,No,No,No
Kentucky,9.7,109,52,16.3,No,No,No
Louisiana,15.4,249,66,22.2,No,No,Yes
Maine,2.1,83,51,7.8,Yes,No,Yes
Maryland,11.3,300,67,27.8,Yes,No,Yes
Massachusetts,4.4,149,85,16.3,Yes,No,Yes
Michigan,12.1,255,74,35.1,No,No,No
Minnesota,2.7,72,66,14.9,No,No,No
Mississippi,16.1,259,44,17.1,No,No,Yes
Missouri,9,178,70,28.2,No,No,No
Montana,6,109,53,16.4,No,No,No
Nebraska,4.3,102,62,16.5,No,No,No
Nevada,12.2,252,81,46,No,No,No
New Hampshire,2.1,57,56,9.5,Yes,No,Yes
New Jersey,7.4,159,89,18.8,Yes,No,Yes
New Mexico,11.4,285,70,32.1,No,No,No
New York,11.1,254,86,26.1,Yes,No,Yes
North Carolina,13,337,45,16.1,No,No,Yes
North Dakota,0.8,45,44,7.3,No,No,No
Ohio,7.3,120,75,21.4,No,No,No
Oklahoma,6.6,151,68,20,No,No,No
Oregon,4.9,159,67,29.3,No,Yes,Yes
Pennsylvania,6.3,106,72,14.9,Yes,No,Yes
Rhode Island,3.4,174,87,8.3,Yes,No,Yes
South Carolina,14.4,279,48,22.5,Yes,No,Yes
South Dakota,3.8,86,45,12.8,No,No,No
Tennessee,13.2,188,59,26.9,No,No,No
Texas,12.7,201,80,25.5,No,No,Yes
Utah,3.2,120,80,22.9,No,No,No
Vermont,2.2,48,32,11.2,Yes,No,Yes
Virginia,8.5,156,63,20.7,Yes,No,Yes
Washington,4,145,73,26.2,No,Yes,Yes
West Virginia,5.7,81,39,9.3,No,No,No
Wisconsin,2.6,53,66,10.8,No,No,No
Wyoming,6.8,161,60,15.6,No,No,No
